연번,이름,내용
1,쌀밥에 콩을 섞어 드세요,쌀은 우리나라를 포함한 아시아국가에서 주로 먹어온 주식으로 저장법이 간편할 뿐 아니라 밥맛이 좋으면서도 물리지 않고 소화도 잘되는 식품이다. 쌀에는 단백질을 구성하는 아미노산중 리신(lysine)이 부족하고 황을 함유하는 아미노산인 메티오닌(methionine)이 많은 편이다. 콩류의 단백질함량은 일반적으로 곡류보다 약2배 정도 함유되어 있다. 단백질의 구성아미노산 중 필수아미노산이 풍부하게 들어 있는데 특히 쌀에 부족한 리신의 함량이 높아서 두류를 혼합한 식사를 하게 되면 단백가를 보완하는데 아주 효과적이다. 쌀 100g에는 리신이 0.22g 밖에 함유되어 있지 않으나 여기에 콩 5g을 혼합하게 되면 0.129g을 더 가하게되므로 아미노산의 보강효과가 크다고 할 수 있다. 뿐만 아니라 콩에는 상대적으로 쌀에 적게 들어 있는 비타민 B1을 많이 가지고 있어 체내에서 당질을 효과적으로 이용할 수 있게 한다.
2,쌀의 부족한 영양소를 쑥으로 보충,"쌀의 영양성분은 77% 가 전분이며 약 6% 정도의 단백질을 가지고 있어 식물성 식품 중에서는 영양가가 매우 우수한 편이다.  쌀밥을 주식으로 하는 나라에서는 쉽게 열량의 대부분과 단백질, 무기질, 비타민의 일부를 섭취하고 있으나 쌀에는 지방, 섬유소, 칼슘, 철 등의 영양분은 들어있지 않아 다른 음식을 통해 섭취해야 했다.  이러한 결점을 보완해 주는 가장 좋은 식품은 쑥으로 쑥에는 칼슘, 섬유질, 비타민A, 비타민C와 다량의 엽록소를 가지고 있어 쌀에서 부족하기 쉬운 영양분을 보충해주며 인체의 항체 능력을 높여주고 소화를 촉진하는 대표적인 건강식품이라고 할 수 있다.  우리 조상들은 제사나 잔치 때 쑥개피떡, 쑥송편, 쑥절편, 쑥버무리, 쑥단자 등을 만들어 먹었는데 이는 쌀과 쑥의 조화를 잘 이용한 예라고 할 수 있다. 또 쑥은 향기가 좋아 밥에 얹어 쑥밥을 해먹기도 했으며 나물이나 국.찌개 등의 재료로도 많이 사용되었다."
3,우유죽을 끊여 먹어요,"우유는 유우(乳牛)의 유선으로부터 분비되는 액체로 특유한 향기와 감미를 가진다. 어린동물의 양육에 필요한 여러 가지 영양소가 들어 있으므로 영양가치가 높은 식품이다. 인류가 동물의 유즙을 식용으로 시작한 것은 약 10,000년 전 야수를 가축화하면서부터 인 것으로 추측된다.  우리나라에서는 우유를 4세기경부터 이용한 것으로 알려졌는데 일반대중은 먹지 못한 아주 귀한 식품이었다. 쌀을 갈아 우유를 넣고  쑨 죽인 타락죽은 궁중에서 보양음식으로 마련했다고 한다. 우유에는 수분, 단백질, 지질, 탄수화물, 무기질, 비타민 등 일반 영양적 성분 외에도 효소, 색소  등이 포함되어 있다. 또한 우유에는 생체조절 기능을 높이는 기능성 성분들도 함유 되어 있다. 우유 100g 중에는 100~105mg의 수용성 칼슘을 함유하고 이는 흡수되기 쉬운 칼슘원의 상태로 존재한다. 칼슘의 1일 권장량은 성인의 경우 700mg 이므로 하루에 우유 3컵 정도를 마시면 충분하다. 유당 성분을 함유하는 우유는 장내의 유산균 증식을 도와 장을 튼튼하게 하고 변비를 해소 시켜 주기도 한다. 우유속의 당질인 갈락토오즈는 단당류로 두뇌발달을 도울 뿐 만 아니라 치매를 예방하는 효과도 가지고 있다. 우유의 여러 가지 성분 중에서 지질은 가장 소화 흡수가 잘되는 성분이다. 그러나 소화력이 저하된 노인이나 환자에게는 소화 장애를 일으킬 수도 있다.  우유의 성분을 모두 흡수 시킬 수 있는 좋은 조리법으로 쌀과 우유를 섞어 죽을 끓이는 방법을 들 수 있다. 우유죽을 끓이면 우유안의 비타민의 손실이 염려가 되지만 죽을 끓일 때 다양한 녹색채소를 넣어 끓이면 보완 할 수 있다.  쌀은 비교적 영양성분이 부족하지 않지만 비타민A, B2 는 부족하다. 쌀이 가지고 있지 않은 성분을 보충 해 줄 수 있는 것이 우유이므로 쌀에 우유를 넣어 죽을 만들면 영양상의 조화를  가져올 수 있겠다."
4,콩과 식초의 만남&#61459;&#61459;,"콩은 ‘밭에서 나는 쇠고기라 &#61455;불릴 만큼 영양가가 높은 식품이다. 콩의 단백질은 대체로 34-42%로 함량이 많고 쌀에는 부족한 아미노산인 리신(Lysine)을 많이 포함하고 있다. 콩의 지질은 대체로 17-20%이며 구성 지방산의 60%가 다불포화지방산으로 혈액 중의 콜레스테롤을 낮추어주므로 동맥경화의 예방효과가 있다. 대두 단백질 중  글리시닌이 70-80%를 차지하며 이 단백질은 물에 쉽게 용해되므로 이를 이용하여 두부를 만든다. 생대두에는 유해한 단백질인 트립신 저해인자(trypsin inhibitor)가 많이 함유되어 있으며 이는 단백질 함량의 약 6%를 차지하고 있다. 이 물질은 열에 불안정하므로 가열조리 할 때 변성되어 파괴된다. 그러므로 콩은 대부분 가열조리를 거쳐 이용하는데 콩을 가열하지 않고 날것으로도 먹을 수 있는 방법도 있다. 즉, 식초에 콩을 담가 먹는 것이다.   식초는 위액의 분비를 촉진시키고 특히 단백질 소화에 효과가 크다. 또한 피로회복에 좋으며 우리 몸에 있는 유해한 과산화지질을 감소시키는 역할을 한다. 특히 지방 합성을 방지하고 분해를 촉진하여 항비만 기능도 가지고 있다. 초콩은 먼저 잘 씻은 콩을 물기를 제거하고 병에 담은 후 식초를 부어 밀봉해 둔다. 1-2일이 지난 후에 다시 식초를 넣어 식초가 더 이상 흡수되지 않을 때 까지 반복 한다. 7-10일 후면 초콩이 완성되는데 식초를 따라내고 용기에 넣어 냉장고에 보관하여 식전에 1회 15-20알 정도 먹는다. 초콩은 식초와 콩이 가지는 여러 가지 특성을 잘 살린 음식이다."
5,더운 여름철 시원한 콩국수 한 그릇,"콩국은 흰콩을 씻어 5-6시간 정도 물에 불린 것을 삶아서 맷돌로 곱게 갈아 고운체로 걸러서 비지를 제거한 국물이다. 날콩에는 비린내가 있는데다가 소화를 방해하는 트립신 저해 인자를 가지고 있어서 그대로는 먹을 수가 없어 이를 제거하기 위하여 가열하여 이용한다. 콩은 뇌의 활동을 돕고 신경을 안정시키며 피를 맑게 하는 식품으로 알려져 있다.   국수는 밀가루에 소금을 넣어 물로 반죽하여 길고 가늘게 성형한 것이다. 우리 조상들은 잔칫날에 국수를 해먹었으며 국수를 먹어야 오래 사는 복을 누릴 수 있다고 생각하였다. 국수의 종류도 다양하여 제물국수는 삶은 국물을 국수 가닥과 함께 먹는 것이고 계절에 따라 별미식으로 여름에는 비빔국수, 콩국수, 건진 국수 등을 만들어 먹었다. 국수의 원료인 밀가루에는 대부분이 전분성분이며 단백질을 구성하는 필수아미노산은 라이신, 메티오닌, 트레오닌, 트립토판 등의 함량은 적은 편이다. 이에 비해 콩은 다른 식품 중에서 어느 식품 보다 단백질의 함량이 많아 국수에 부족한 영양소를 보충해 줄 수 있다. 여름철 땀이 많이 나고 식욕이 떨어질 때 콩국에 국수를 말아 먹어보면 우리 조상의 지혜를 느낄 수 있다."
6,동짓날 새알심 예쁘게 빚어 팥죽을 만들자,"동지는 1년 중  밤이 가장 길고 낮이 가장 짧은 날로 조상들은 이날에 특별한 별식을 만들어 먹었다. 집집마다 팥죽을 쑤어 마루, 광 등에 한 그릇씩 떠다 놓고, 대문이나 벽에다 팥죽을 뿌린 다음에 먹는 풍습이 있었다. 이 풍습은 팥이 액을 막고 잡귀를 없애준다는 데서 나온 것이다. 팥은 대두나 땅콩과는 달리 지방의 함량이 적고 탄수화물인 전분이 많이 들어 있어 떡의 소와 고물로 사용한다. 단백질은 20%정도가 들어 있는데 그 가운데 약 80%가 글로불린으로 리신과 트립토판을 상당히 함유하고 있다. 지방은 0.6~2.0%로 그 양이 적다. 팥에는 사포닌이 약 0.3% 들어 있다. 사포닌은 장을 자극해 과식을 하면 설사의 원인이 되지만 섬유질과 함께 변비를 치료할 수 있다.   또한 팥은 각기병, 빈혈, 냉증, 신장병, 당뇨, 허약 체질에 좋은 식품이다. 팥은 해독 작용이 있어 체내의 알코올을 빨리 분해하여 숙취에 효과가 있다. 하지만 위장 장애가 있는 사람의 경우 가스발생이 많아 주의해야 한다.  팥죽은 팥을 푹 삶아 거르고 찹쌀가루를 반죽하여 새알심 모양으로 만들어 함께 끓인다. 새알심의 원료인 찹쌀은 전분이 주성분으로 당질이 75%함유되어 있다. 우리 몸은 음식물을 대사시키기 위해서는 효소의 작용이 있어야 한다. 영양소 중 비타민류는 대사 과정에 보조 효소로서 중요한 역할을 한다. 당질대사에는 비타민 B1이 절대적으로 필요한데 팥은 비타민 B1을 충분히 가지고 있어(0.56mg%) 팥과 찹쌀은 조화가 잘 되는 식품이다."
7,밥반찬엔 무말랭이가 제격!,"무를 3cm 정도의 두께로 썰어 바람이 잘 통하고 햇빛이 잘 드는 곳에서 말린 무말랭이에는 사람의 뼈를 구성하는 성분인 칼슘을 다량으로 함유하고 있으며 그 외에 단백질, 철분, 칼슘, 비타민 등도 많이 들어있는 식품이다.  무는 수분이 93%로 무의 대부분을 차지하며 칼슘함량은 30mg 정도밖에 들어있지 않은데 이것을 말린 무말랭이에는 수분이 줄고 대부분의 영양소들이 증가하며 특히 칼슘의 경우는 10배 정도가 증가되어 식물성 식품 중에는 드물게 칼슘을 풍부하게 함유하고 있다. 칼슘은 성장하는 어린이나 임산부에게 중요하며 중년기 이후 여성에게 흔히 나타나는 요통이나 골절, 특히 골다공증을 예방하기 위해서도 늘 신경을 써야 한다. 나이가 들어갈수록 체내에서 칼슘 흡수가 나빠지므로 섭취에 더욱 신경을 써야 한다.  따라서 무말랭이를 이용한 다양한 음식을 섭취함으로써 탄수화물이 주성분인 밥을 먹을 때 다양한 영양소를 균형 있게 섭취할 수 있어 밥반찬으로 제격인 식품이라고 볼 수 있다.  특히 무말랭이를 이용한 대표적 음식인 무말랭이 무침은 말린 무말랭이를 물에 담가 불렸다가 물기를 쪽 뺀 후 간장에 다진 마늘, 물엿을 넣고 끓인 물에 무말랭이를 넣어 무치고 마지막에 고춧가루, 통깨, 참기름을 넣으면 되는데 무말랭이 무침은 부피도 많이 차지하지 않고 영양면에서도 잘 갖추고 있어 아이들 도시락 반찬이나 등산 시 반찬으로 이용하면 좋다."
8,청포묵과 미나리로 만든 영양 좋고 보기도 좋은 탕평채,"하늘하늘한 청포묵을 가늘게 채썰어  숙주, 미나리, 고기, 김 등을 섞어 양념장에 무친 탕평채는 상큼한 맛과 향이 나른해지기 쉬운 봄에 입맛을 당기게 하는 대표적인 음식이다.  특히 탕평채의 주 재료인 미나리는 비타민A가 아주 많아 비타민의 보급원이 되며 무기질로는 칼슘, 철분 등이 많이 함유된 알칼리성 식품으로 잎에는 발한 작용과 보온 작용이 뛰어난 정유를 함유하고 있는데 이는 향기가 좋아 식욕을 촉진시키는 역할을 한다.  탕평채란 음식명은 재료와 조리법과는 관계가 없다. 묵을 기름장에만 무치던 것을 조선중엽 영조 때 당파싸움으로 인해 나라 안이 혼란스러워 이를 막기 위한 탕평책을 펴는 자리에서 묵에다 채소를 섞어서 묵무침을 하여 나온 것에서 유래하고 있다. 탕평은 ‘탕탕평평’의 줄임말로 어느 쪽에도 쏠리지 않고 아주 좋다는 뜻을 내포하고 있다.  예부터 묵은 수분이 많고 부드러워 연로하신 노인들이 즐겨먹었던 식품이다. 청포묵(녹두묵)은 녹두 전분으로  쑤는데 그 성분이 대부분 전분질이어서 영양소가 많이 부족하다. 그러한 묵을 요리할 때 다양한 재료를 넣은 탕평채를 만들어 먹음으로써 김과 미나리, 숙주로 비타민과 무기질을 보충하고 달걀을 부친 지단과 고기로 단백질을 섭취할 수 있어 영양적으로도 균형 있는 음식이라 할 수 있다.   또한 음식은 맛 못지않게 색 또한 중요한데 미나리의 녹색, 김의 검정색, 황색과 백색의 달걀지단이 서로 잘 어울려 미적으로도 보기 좋은 음식이다."
9,여름철 입맛 살리는 냉면은  상큼한 식초와 겨자의 어울림,"냉면은 원래 겨울음식이었으나 지금은 여름철 최고의 별미음식이 되었다. 냉면을 먹을 때는 냉면의 찬 성질을 보충하기위해 더운 성질의 겨자를 함께 먹고 또한 식초를 넣어 겨자의 향기를 보존하면서 미생물의 번식을 막아 식중독의 위험을 줄여줄 수 있다.  한방에서는  냉면의 차가운 성질 때문에 소양인에게 이로운 음식으로 권한다. 비장이 크고 신장이 작아 열에너지를 만들어 내는데 강한 소양인은 냉면을 먹었을 때 몸 안의 차갑고 더운 기운이 조화를 이루기 때문에 건강에 좋은 것으로 알려져 있다.냉면의 사리로 쓰이는 메밀은 추운 곳이나 척박한 땅에서도 잘 자라기 때문에 옛날부터 구황 작물로 이용해 왔다. 우리나라는 강원도 산간 지역에 메밀이 많이 생산되고 질도 좋다. 메밀은 전분이 주성분으로 당질 73%, 단백질은 10% 정도 함유되어 있다. 트립토판, 트레오닌, 라이신등의 필수 아미노산이 풍부한편이다. 비타민B1, B2  및 인이 많아 영양가가 높은 편이다. 이밖에 메밀에는 고혈압으로 인한 뇌출혈 등 혈관손상을 예방하는 효과가 있는 비타민 P, 즉 루틴이 들어 있다. 루틴은 모세혈관의 저항력을 키워 고혈압과 동맥경화, 궤양성질환, 동상, 치질, 감기치료 등에 효과가 인정되어 있다.  메밀가루를 이용한 면은 밀가루나 전분을 섞어야 끈기가 있어 잘 만들어 진다. 냉면 육수는 동치미국과 양지머리를 삶은 것을 함께 섞어  편육, 배 삶은 계란, 오이무침 등을 고명으로 올려 낸다. 이때 향신료인 겨자와 식초를 곁들어 먹게 된다.   식초는 신맛을 가진 대표적인 조미료로 살균력이 강하여 대부분의 병원균을 사멸시킨다. 또한 대사과정 중 우리 몸에 누적된 젖산을 빨리 분해하도록 도와 피로회복에 도움이 된다. 여름철 대장균에 의한 여름철 식중독이 자주 일어나는데 이러한 식중독은 식품이나 육수가 중성 일 때 쉽게 번식한다. 그러나 살균력을 가진 식초는 산도를 떨어뜨려 세균의 번식을 막아 식중독의 위험을 감소시킨다. 냉면에 식초를 곁들여 먹는 것은 풍미와 위생, 영양의 세 가지를 잘 조정해 주는 음식이라 할 수 있다. 무더위에 지쳐 축 늘어진 사람들에게 새콤한 식초를 곁들인 시원한 냉면 한 그릇은 생기를 북돋아 줄 수 있다. "
10,된장과 부추,"우리 식탁에 올려지는 모든 식품은 그 성분 자체가 가지는 유해한 성분이 존재할 수 있다. 콩에는 단백질의 소화를 방해하는 트립신저해인자와 동물의 적혈구를 응집시키는 성분, 기포성이 강한 용혈성인 사포닌 등이 들어있다. 콩은 섬유소가 많고 조직도 치밀하여 일반적인 조리법으로는 소화율이 떨어진다. 우리의 조상들은 이러한 콩의 특성을 잘 이용하여 두부, 콩국, 된장 등을 만들어 먹었다. 특히 된장은 콩을 삶아서 미생물에 발효시켜 만든 것으로 소화 흡수가 잘된다. 가열과 발효과정을 통해 단백질이 아미노산으로 변한다. 따라서 단백질 공급원으로서 매우 훌륭한 식품이다. 그러나 된장은 만드는 과정에서 소금을 많이 사용하므로 나트륨의 함량이 높은 식품이 된다. 또한 비타민 A와 C가 부족한 결점이 있다. 이러한 문제점을 보완해 주는 식품으로 부추를 들 수 있다. 부추는 백합과에 속하는 다년생 초본 식물이다. 부추에는 수분이 약 90%로 가장 많이 차지하며 다른 야채에 비해 단백질과 지방, 탄수화물, 무기질이 풍부하다. 특히 부추 100g 중에는 비타민 A는 2000 I.U., 비타민 C는 40mg이 함유 되어 있다. 된장은 콩을 원료로 만들기 때문에 비타민이 들어 있지 않다. 이러한 된장에 부추를 곁들이면 부족한 비타민을 보충해 줄 수 있다. 또한 부추에 들어 있는 칼륨이 체외로 배설될 때 나트륨과 함께 배설 된다. 부추에 독특한 맛을 내는 알리신 성분은 비타민B1의 흡수를 돕고 체내에 오래 머물도록 하는 작용을 한다. 된장국에 비타민, 식이섬유가 풍부한 부추를 넣으면 된장국의 단점을 보완하는 훌륭한 음식이 된다. "
